Kanzlei-Rechnungswesen - RW - 452389/30902/2019 /  Summen- und Saldenliste - SUSA Jahresübersicht Dezember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konto,Beschriftung,EB-Wert,S,H,Jan/2019,S,H,Feb/2019,S,H,Mrz/2019,S,H,Apr/2019,S,H,Mai/2019,S,H,Jun/2019,S,H,Jul/2019,S,H,Aug/2019,S,H,Sep/2019,S,H,Okt/2019,S,H,Nov/2019,S,H,Dez/2019,S,H,Gesamtsaldo,S,H
20,Gewerbliche Schutzrechte,"5.750,00",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.750,00",S,
27,EDV-Software,"6,00",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,00",S,
30,Lizenzen,"7.343,00",S,,"-18.846,99",S,,"-3.653,03",,H,"1.346,97",S,,"1.986,35",,H,"1.986,36",,H,"26.903,64",S,,"1.986,35",,H,"937,51",,H,"937,50",,H,"937,50",,H,"937,50",,H,"21.951,50",,H,"19.127,00",S,
35,Geschäfts- oder Firmenwert,"100.000,00",S,,"4.166,66",,H,"4.166,67",,H,"4.166,66",,H,"4.166,67",,H,"4.166,67",,H,"4.166,66",,H,"4.166,67",,H,"4.166,67",,H,"4.166,66",,H,"4.166,67",,H,"4.166,67",,H,"4.166,67",,H,"50.000,00",S,
320,Pkw,"1.750,00",S,,"250,00",,H,"1.500,00",,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,
350,Lkw,"11.270,00",S,,"369,25",,H,"117,25",,H,"468,74",,H,"234,42",,H,"234,42",,H,"234,41",,H,"234,42",,H,"234,42",,H,"234,41",,H,"234,42",,H,"234,42",,H,"234,42",,H,"8.205,00",S,
400,Betriebsausstattung,"56.800,00",S,,"2.121,12",S,,"1.313,13",,H,"1.615,47",,H,"1.147,53",,H,"2.439,17",,H,"2.329,88",,H,"2.286,45",,H,"530,44",,H,"2.208,39",,H,"1.576,97",,H,"2.176,51",,H,"3.638,18",,H,"37.659,00",S,
480,Geringwertige Wirtschaftsgüter,,,,,,,,,,,,,,,,,,,,,,,,,"2.373,66",S,,"2.373,66",,H,,,,"0,00",,,"0,00",,,"0,00",,
800,Gezeichnetes Kapital,"100.000,00",,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.000,00",,H
961,Urlaubs/ Überstundenrückstellung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.244,32",,H,"6.244,32",,H
965,Rückstellungen für Personalkosten,"2.725,00",,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.725,00",S,,"0,00",,
970,Sonstige Rückstellungen,"34.900,00",,H,"1.666,63",,H,"1.666,63",,H,"1.666,63",,H,"1.666,63",,H,"1.666,63",,H,"1.666,63",,H,"13.058,37",S,,"1.666,63",,H,"5.533,37",S,,"1.666,63",,H,"1.666,63",,H,"16.092,07",,H,"47.400,00",,H
